experiment,method,notes,cfg.seq_len,cfg.n_layers,cfg.n_heads,cfg.head_dim,cfg.K,cfg.use_kernels,cfg.device,m.latency_ms,m.throughput_tps,m.speedup_vs_baseline,m.p50_ms,m.p90_ms,m.p99_ms,m.std_ms,m.cache_hit_rate,m.n_iter
kernel_bench,baseline,,2048,32,32,128,,,cuda,0.014418033333315114,69357.58691092384,1.0,0.013452999999330473,0.01564699999967445,0.022740000000354144,0.002435318367529472,0.0,30
kernel_bench,topk_pytorch,,2048,32,32,128,1024,False,cuda,9.122752500000134,109.6160396766201,0.0015804477139235008,8.832351999999766,10.344959000000209,10.363901999999925,0.6018761396746601,0.975,30
kernel_bench,topk_triton,,2048,32,32,128,1024,True,cuda,9.124847199999842,109.59087621763325,0.0015800849063330469,8.822620000000114,10.356154000000117,10.368302999999912,0.6080560286926311,0.975,30
kernel_bench,baseline,,4096,32,32,128,,,cuda,0.014135733333435022,70742.70406861143,1.0,0.0137020000003929,0.014640000001620024,0.020217999999516678,0.0014008863924345552,0.0,30
kernel_bench,topk_pytorch,,4096,32,32,128,1024,False,cuda,13.140406666666731,76.10114552517616,0.0010757454995128223,13.126638000001023,13.202546000000481,13.225711000000473,0.0373269275792966,0.975,30
kernel_bench,topk_triton,,4096,32,32,128,1024,True,cuda,13.117378700000101,76.23474345526003,0.0010776340042263867,13.116643000000039,13.13417899999969,13.158209000000198,0.016426909477198222,0.975,30
kernel_bench,baseline,,8192,32,32,128,,,cuda,0.014242466666717727,70212.55681340884,1.0,0.013361000000600143,0.013800000001396029,0.028736999999168233,0.0032154514963340704,0.0,30
kernel_bench,topk_pytorch,,8192,32,32,128,1024,False,cuda,21.762384233333282,45.950847539411946,0.0006544534143875029,21.75570600000043,21.820503000000713,21.83911300000041,0.034971822393112334,0.975,30
kernel_bench,topk_triton,,8192,32,32,128,1024,True,cuda,21.82288393333316,45.823457754479435,0.0006526390696219213,21.812313999999944,21.865533999999798,22.027196999999887,0.06455833837281098,0.975,30
kernel_bench,baseline,,16384,32,32,128,,,cuda,0.014191299999903132,70465.70786374933,1.0,0.013230000000419295,0.01568899999959683,0.029993000000061443,0.0032181229391760225,0.0,30
kernel_bench,topk_pytorch,,16384,32,32,128,1024,False,cuda,39.00877096666674,25.635260358612857,0.0003637976703246994,39.009604999998615,39.05041500000195,39.08009999999962,0.031238131770500444,0.975,30
kernel_bench,topk_triton,,16384,32,32,128,1024,True,cuda,39.07702669999982,25.59048332098421,0.0003631622259506043,39.0698460000003,39.124571999998636,39.17007600000133,0.04127273222944494,0.975,30
