experiment,method,notes,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.group_size,cfg.residual_length,cfg.use_selection_cache,m.storage_mb,m.prefill_s,m.decode_step_ms,m.decode_p50_ms,m.decode_p99_ms,m.decode_std_ms,m.ppl,m.cache_hit_rate,m.blocks_dequantized_avg
long_context,baseline,,2048,1024,128,512,4,32,128,True,1024.0,2.0417999998301184e-05,0.010933600000484489,0.009857999998530431,0.016991999999049767,0.002371841675273985,7.276570979912691,,
long_context,kivi,,2048,1024,128,512,4,32,128,True,348.0,0.8847330729999996,105.38643950000015,105.70921899999774,106.39289599999913,0.8954863636180224,7.268337175705899,,
long_context,topk,,2048,1024,128,512,4,32,128,True,1030.5,0.06827078699999944,8.809734699999439,8.808179999999055,8.83151299999696,0.014987263822549751,7.276570979912691,0.9230769230769231,
long_context,kivi_topk,,2048,1024,128,512,4,32,128,True,348.0,0.8468340800000007,629.0777884,630.4856470000004,636.6450590000028,6.394362091256144,7.268337175705899,0.9230769230769231,1536.0
long_context,baseline,,8192,1024,128,512,4,32,128,True,4096.0,1.4636999999595446e-05,0.009029799998927501,0.008725999997238887,0.009968999997056471,0.0005463063446957273,7.276570979912691,,
long_context,kivi,,8192,1024,128,512,4,32,128,True,1236.0,3.182809279000004,422.1527350000009,419.95288000000386,430.73754299999933,5.841535462144735,7.268337175705899,,
long_context,topk,,8192,1024,128,512,4,32,128,True,4102.5,0.018736592999999857,21.81542750000105,21.814595000002157,21.83282899999739,0.011593559296397186,7.276570979912691,0.9230769230769231,
long_context,kivi_topk,,8192,1024,128,512,4,32,128,True,1236.0,3.299606273000002,963.8631018999988,962.5926359999966,971.044004999996,5.5795960779147356,7.268337175705899,0.9230769230769231,1536.0
