experiment,method,notes,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.group_size,cfg.residual_length,cfg.use_selection_cache,m.storage_mb,m.prefill_s,m.decode_step_ms,m.decode_p50_ms,m.decode_p99_ms,m.decode_std_ms,m.ppl,m.cache_hit_rate,m.blocks_dequantized_avg
long_context,baseline,,2048,1024,128,512,4,32,128,True,1024.0,2.558999999990874e-05,0.01688100000123427,0.015505000000359814,0.023917000000039934,0.0039997470537982876,7.276570979912691,,
long_context,kivi,,2048,1024,128,512,4,32,128,True,345.0,1.1087750169999993,154.8041688000005,153.53506099999947,158.18664500000068,2.125627404686073,7.268337175705899,,
long_context,kivi_topk,,2048,1024,128,512,4,32,128,True,345.0,1.1101772410000024,820.1347823999996,813.1415950000047,838.832613000001,15.521331887129886,7.268337175705899,0.8571428571428571,1536.0
long_context,kivi_topk_c,,2048,1024,128,512,4,32,128,True,345.0,1.0625134809999963,799.9662928000007,800.1717050000038,807.0637380000037,7.392007731458876,7.268337175705899,0.8571428571428571,1536.0
