experiment,method,notes,cfg.label,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.use_kernels,cfg.use_head_softmax,cfg.use_criticality_weights,cfg.use_selection_cache,cfg.use_sink_tokens,cfg.use_local_tokens,m.latency_ms,m.throughput_tps,m.p50_ms,m.p99_ms,m.std_ms,m.cache_hit_rate,m.delta_ms_vs_full,m.ppl
ablation,topk,,full,4096,1024,128,512,True,True,True,True,True,True,15.11521126666698,66.15851954416696,15.302004000002256,15.335473000000377,0.5920445487631909,0.95,0.0,8.401137412898667
ablation,topk,,-head_softmax,4096,1024,128,512,True,False,True,True,True,True,13.058708466666266,76.57725130724879,13.058179999998032,13.081896999999287,0.013988546783750383,0.95,-2.0565028000007146,8.401137412898667
ablation,topk,,-criticality_weights,4096,1024,128,512,True,True,False,True,True,True,13.067702000000025,76.5245488456959,13.065363999999136,13.10991699999775,0.022801847220781126,0.95,-2.047509266666955,8.401137412898667
ablation,topk,,-selection_cache,4096,1024,128,512,True,True,True,False,True,True,46.463722800000085,21.522166966784635,13.571264999995947,506.89628100000306,127.37483512399896,0.0,31.348511533333102,8.401137412898667
ablation,topk,,-sink_tokens,4096,1024,128,512,True,True,True,True,False,True,12.786910466666749,78.2049739541718,12.784297999999694,12.814896999998382,0.01761784466918824,0.95,-2.328300800000232,8.401137412898667
ablation,topk,,-local_tokens,4096,1024,128,512,True,True,True,True,True,False,11.966947800001055,83.56349644977242,11.965968000005489,11.99108299999807,0.014174753850672328,0.95,-3.1482634666659255,8.401137412898667
