experiment,method,notes,cfg.label,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.use_kernels,cfg.use_head_softmax,cfg.use_criticality_weights,cfg.use_selection_cache,cfg.use_sink_tokens,cfg.use_local_tokens,m.latency_ms,m.throughput_tps,m.p50_ms,m.p99_ms,m.std_ms,m.cache_hit_rate,m.delta_ms_vs_full
ablation,topk,,full,4096,1024,128,512,True,True,True,True,True,True,13.132644233333313,76.1461273322091,13.13178699999984,13.179259000000165,0.02196724319767465,0.975,0.0
ablation,topk,,-head_softmax,4096,1024,128,512,True,False,True,True,True,True,13.133946233333274,76.13857878160425,13.137522999999263,13.169807999999783,0.01701201836372226,0.975,0.0013019999999617227
ablation,topk,,-criticality_weights,4096,1024,128,512,True,True,False,True,True,True,13.12773319999998,76.17461329881395,13.12517599999996,13.151795999999827,0.01560322743227445,0.975,-0.004911033333332426
ablation,topk,,-selection_cache,4096,1024,128,512,True,True,True,False,True,True,27.168805433333148,36.806918230313855,13.628768000000235,419.87709999999987,74.1707572439952,0.0,14.036161199999835
ablation,topk,,-sink_tokens,4096,1024,128,512,True,True,True,True,False,True,12.8479556666667,77.83339435039024,12.85049100000002,12.87829500000015,0.016815100014579427,0.975,-0.28468856666661324
ablation,topk,,-local_tokens,4096,1024,128,512,True,True,True,True,True,False,12.017562566666781,83.21154930149554,12.01675100000088,12.04495499999858,0.016648223522537052,0.975,-1.1150816666665317
