experiment,method,notes,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.group_size,cfg.residual_length,cfg.use_selection_cache,m.storage_mb,m.prefill_s,m.decode_step_ms,m.decode_p50_ms,m.decode_p99_ms,m.decode_std_ms,m.cache_hit_rate,m.blocks_dequantized_avg
long_context,baseline,,2048,1024,128,512,4,32,128,False,1024.0,2.547199999991534e-05,0.01456353333342264,0.013486000000284548,0.023301999999780776,0.0026393795500217424,,
long_context,kivi,,2048,1024,128,512,4,32,128,False,351.5,1.451897699999999,146.48342826666675,144.64838600000007,167.88590500000032,6.239482916458823,,
long_context,topk,,2048,1024,128,512,4,32,128,False,1034.0,0.4585520770000002,57.448744533333006,10.8727970000011,714.834733,181.86189505162068,0.0,
long_context,kivi_topk,,2048,1024,128,512,4,32,128,False,351.5,1.1082719989999994,831.9662086666665,839.1018629999998,860.2072549999989,21.408825328926774,0.0,1536.0
long_context,baseline,,8192,1024,128,512,4,32,128,False,4096.0,1.5642000001037104e-05,0.013805799999507448,0.013660999997000545,0.01440999999857695,0.0003247914056216039,,
long_context,kivi,,8192,1024,128,512,4,32,128,False,1239.5,3.929063298999999,621.5669223333326,623.7717249999974,630.0336139999985,8.758383546572327,,
long_context,topk,,8192,1024,128,512,4,32,128,False,4106.0,0.0774035790000056,22.76138820000047,22.748610999997254,22.88187999999991,0.0617524573235289,0.0,
long_context,kivi_topk,,8192,1024,128,512,4,32,128,False,1239.5,4.438199580999999,1333.1555970666661,1337.6040660000115,1383.7375229999934,27.88942760495377,0.0,1536.0
long_context,baseline,,16384,1024,128,512,4,32,128,False,8192.0,1.7018000008306444e-05,0.013699133332541653,0.013605999996002538,0.014580999987856558,0.0003211276693331658,,
long_context,kivi,,16384,1024,128,512,4,32,128,False,2423.5,8.371020932000008,1254.2193343999988,1201.1373959999928,1463.968120000004,101.22181383339156,,
long_context,topk,,16384,1024,128,512,4,32,128,False,8202.0,0.034966361000002166,40.95878806666633,40.93267599999706,41.51272599999345,0.2327124050213291,0.0,
long_context,kivi_topk,,16384,1024,128,512,4,32,128,False,2423.5,8.905962011,2000.014415000004,2003.064821999999,2016.4094570000088,12.015665041706082,0.0,1536.0
long_context,baseline,,32768,1024,128,512,4,32,128,False,16384.0,1.660500001321452e-05,0.014535533330217731,0.013612000003604408,0.026703000003180932,0.0033835921101497443,,
long_context,kivi,,32768,1024,128,512,4,32,128,False,4791.5,16.401261294000022,2498.758927866667,2499.144058000013,2514.7815910000018,8.911136002220816,,
long_context,topk,,32768,1024,128,512,4,32,128,False,16394.0,0.07748488100000372,77.03754560000296,77.01939599999719,77.50682100001427,0.20620539672685784,0.0,
long_context,kivi_topk,,32768,1024,128,512,4,32,128,False,4791.5,17.827961535999975,3179.025115999999,3185.8444990000407,3390.403730999992,86.49263074606118,0.0,1536.0
