experiment,method,notes,cfg.seq_len,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.group_size,cfg.residual_length,cfg.use_selection_cache,m.storage_mb,m.prefill_s,m.decode_step_ms,m.decode_p50_ms,m.decode_p99_ms,m.decode_std_ms,m.cache_hit_rate,m.blocks_dequantized_avg
long_context,baseline,,2048,1024,128,512,4,32,128,False,1024.0,2.086200000039895e-05,0.011437266666784277,0.010471000000400466,0.019401000000307533,0.0026042108338344295,,
long_context,kivi,,2048,1024,128,512,4,32,128,False,351.5,0.9105059020000006,91.67150813333329,91.54362900000024,94.3306020000012,0.9371924923693565,,
long_context,topk,,2048,1024,128,512,4,32,128,False,1034.0,0.21266257999999993,33.0750534666669,6.232347000000971,408.89606900000075,103.96775337196411,0.0,
long_context,kivi_topk,,2048,1024,128,512,4,32,128,False,884.0,0.7686914109999989,150.1870941999999,150.06503800000104,153.544256,2.528041605960493,0.0,1536.0
long_context,kivi_topk_c,,2048,1024,128,512,4,32,128,False,884.0,1.1880173520000028,148.3498636666667,149.92780100000047,152.00008700000112,2.819865323707821,0.0,1536.0
long_context,baseline,,8192,1024,128,512,4,32,128,False,4096.0,1.2961000003031131e-05,0.00799539999955338,0.007779999997126197,0.009370999997315721,0.0005408679261227505,,
long_context,kivi,,8192,1024,128,512,4,32,128,False,1239.5,2.6839535379999973,379.5754067333332,377.09338899999875,407.61565600000085,13.345944015958528,,
long_context,topk,,8192,1024,128,512,4,32,128,False,4106.0,0.014474997000000656,16.22198340000054,16.221235999999806,16.278830000000966,0.022939985290197057,0.0,
long_context,kivi_topk,,8192,1024,128,512,4,32,128,False,3476.0,3.0431739549999968,433.0719456000007,434.4933449999999,438.7919440000019,4.068487052421392,0.0,1536.0
long_context,kivi_topk_c,,8192,1024,128,512,4,32,128,False,3476.0,3.0305800460000043,448.899478266667,444.5714849999973,472.31993700000174,10.963037438886063,0.0,1536.0
long_context,baseline,,16384,1024,128,512,4,32,128,False,8192.0,1.4069999998866933e-05,0.009964799999787981,0.009631000004617363,0.011510999996744431,0.0006905198031303319,,
long_context,kivi,,16384,1024,128,512,4,32,128,False,2423.5,5.395260518999997,772.2081115999998,774.19247200001,827.1235180000076,30.17201625830398,,
long_context,topk,,16384,1024,128,512,4,32,128,False,8202.0,0.01472202300000447,29.409820733330132,29.417473999998833,29.44071699999995,0.024422195525235675,0.0,
long_context,kivi_topk,,16384,1024,128,512,4,32,128,False,6932.0,6.081257233999992,859.1424502666665,871.285436000008,895.7166210000054,39.41631787645623,0.0,1536.0
long_context,kivi_topk_c,,16384,1024,128,512,4,32,128,False,6932.0,6.018922711000002,831.134954999998,800.3356529999905,899.5849590000091,43.38956628375571,0.0,1536.0
long_context,baseline,,32768,1024,128,512,4,32,128,False,16384.0,2.3131000006060276e-05,0.008845933332205883,0.00800099999764825,0.019160999997325234,0.0029289908176282145,,
long_context,kivi,,32768,1024,128,512,4,32,128,False,4791.5,11.145524997999999,1579.8199030000053,1562.471123000023,1647.8624849999903,43.40598557066926,,
long_context,topk,,32768,1024,128,512,4,32,128,False,16394.0,0.019092863999986776,55.766401466663254,55.753978000012694,56.0140439999941,0.07593862534860078,0.0,
long_context,kivi_topk,,32768,1024,128,512,4,32,128,False,13844.0,12.351462113999986,1618.5959761333322,1594.8357430000044,1731.231710000003,66.66110216256418,0.0,1536.0
long_context,kivi_topk_c,,32768,1024,128,512,4,32,128,False,13844.0,12.253733628999981,1587.319142000003,1587.8158960000235,1707.8564710000137,42.8460669102823,0.0,1536.0
